State,id,state_code,Exclusive Miles,Controlled Miles,Mixed Miles
Alabama,"01",AL,0,0,1446.9,
Alaska,"02",AK,0,0,247.1,
Arizona,"04",AZ,0,329.6,4799.6,
Arkansas,"05",AR,0,0,541.1,
California,"06",CA,508.1,722.6,39070.4,
Colorado,"08",CO,43.6,9.8,4694.7,
Connecticut,"09",CT,52.4,0,3843.6,
Delaware,10,DE,0,0,1470.3,
District of Columbia,11,DC,10.4,56.6,2559.2,
Florida,12,FL,42.6,79.2,14991.7,
Georgia,13,GA,183.7,0,4122.1,
Hawaii,15,HI,1.2,34.7,1702.7,
Idaho,16,ID,0,0,284.2,
Illinois,17,IL,3.7,0,8287.5,
Indiana,18,IN,0,0,2713.9,
Iowa,19,IA,0,0,35836.6,
Kansas,20,KS,0,0,897.3,
Kentucky,21,KY,0,0,2048.4,
Louisiana,22,LA,14,0,1739.9,
Maine,23,ME,0,0,144,
Maryland,24,MD,14.8,16.2,5948.1,
Massachusetts,25,MA,6.2,22.6,6295.5,
Michigan,26,MI,0,0,9091.7,
Minnesota,27,MN,15.5,385.3,4699.7,
Mississippi,28,MS,0,0,494.7,
Missouri,29,MO,0.8,14.1,3211,
Montana,30,MT,0,0,463,
Nebraska,31,NE,0,0,881,
Nevada,32,NV,47.2,35.4,1666.8,
New Hampshire,33,NH,0,0,180,
New Jersey,34,NJ,1,59,12943.9,
New Mexico,35,NM,0,0,1484.4,
New York,36,NY,45.6,167.9,14737.3,
North Carolina,37,NC,22,0,4457.1,
North Dakota,38,ND,0,0,240.7,
Ohio,39,OH,9.8,134.3,8061.3,
Oklahoma,40,OK,0,0,1520.7,
Oregon,41,OR,13.4,10.1,2672.6,
Pennsylvania,42,PA,76.9,46.9,12536.6,
Rhode Island,44,RI,0.8,0,1198.5,
South Carolina,45,SC,0,0,3036.9,
South Dakota,46,SD,0,0,191.1,
Tennessee,47,TE,0,0,2836.1,
Texas,48,TX,117,539.7,13067.1,
Utah,49,UT,14.8,0,3900.1,
Vermont,50,VT,0,0,445.6,
Virginia,51,VA,0,436.6,5277.6,
Washington,53,WA,469.9,335.6,7230.4,
West Virginia,54,WV,0,0,1171, 
Wisconsin,55,WI,23.2,0,4015.1,
Wyoming,56,WY,0,0,0,
